Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,C,,,15,gravel,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,F,,,25,sand,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,G,40,95,35,clay,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,O,,,48,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,S,,,65,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,U,,,72,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,W,,,80,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,WV,60,5,60,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,6,,,,25,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,B,,,30,cobble,15,A,0,minimal,some
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,C,,,55,gravel,80,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,F,,,50,sand,5,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,G,100,100,54,clay,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,O,,,65,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,S,,,60,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,U,,,27,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,W,,,1,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,WV,,,0,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,7,,,,18,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,B,,,50,cobble,25,A,0,minimal,minimal
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,C,,,68,gravel,40,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,F,,,60,sand,35,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,G,70,100,55,clay,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,O,,,60,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,S,,,52,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,U,,,28,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,W,,,2,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,WV,30,,18,,,,,,
CR,8292021,"TGQ, SC",3,na,na,na,na,na,8,,,,11,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
